id,client_id,service_id
0,944,71
1,188,16
2,577,64
3,969,95
4,86,90
5,812,99
6,470,1
7,104,79
8,524,85
9,266,96
10,858,38
11,217,79
12,787,32
13,240,12
14,39,20
15,939,93
16,918,39
17,130,58
18,56,22
19,632,48
20,465,65
21,384,15
22,242,59
23,427,91
24,672,16
25,357,44
26,804,87
27,737,90
28,332,96
29,561,22
30,309,44
31,796,67
32,175,80
33,606,61
34,870,36
35,112,15
36,383,67
37,476,5
38,857,9
39,724,32
40,457,3
41,437,66
42,309,13
43,518,50
44,922,91
45,41,23
46,173,96
47,649,85
48,635,91
49,198,95
50,641,2
51,89,22
52,692,5
53,603,39
54,151,65
55,791,13
56,286,49
57,265,74
58,365,55
59,986,10
60,314,34
61,641,89
62,115,56
63,203,18
64,415,7
65,209,5
66,568,61
67,373,6
68,927,27
69,777,26
70,388,73
71,768,5
72,174,9
73,409,31
74,670,17
75,917,31
76,635,24
77,805,92
78,922,5
79,518,90
80,617,57
81,170,52
82,917,26
83,800,77
84,905,29
85,492,1
86,645,31
87,495,81
88,736,3
89,140,62
90,374,31
91,838,88
92,772,71
93,557,1
94,283,44
95,357,43
96,15,2
97,17,33
98,631,87
99,411,78
100,266,59
101,668,72
102,880,17
103,998,42
104,459,50
105,649,3
106,225,46
107,572,68
108,639,7
109,143,71
110,993,36
111,661,19
112,646,82
113,537,25
114,559,40
115,243,88
116,781,30
117,51,80
118,68,35
119,21,97
120,54,16
121,124,67
122,750,80
123,981,66
124,940,44
125,32,25
126,137,41
127,755,22
128,568,83
129,520,96
130,551,97
131,903,17
132,825,40
133,117,95
134,950,73
135,789,46
136,793,42
137,40,6
138,870,64
139,269,57
140,466,53
141,287,75
142,843,37
143,153,89
144,752,25
145,55,64
146,248,4
147,566,99
148,865,23
149,746,80
150,173,39
151,752,66
152,756,13
153,940,31
154,222,95
155,682,40
156,186,13
157,690,14
158,661,77
159,658,91
160,341,98
161,981,30
162,923,2
163,136,23
164,528,34
165,177,86
166,390,45
167,928,87
168,964,5
169,943,8
170,687,46
171,454,66
172,536,68
173,607,18
174,763,60
175,805,14
176,419,50
177,806,63
178,989,32
179,622,76
180,358,32
181,880,70
182,7,42
183,237,0
184,250,94
185,571,12
186,161,76
187,845,93
188,350,48
189,2,33
190,818,18
191,696,78
192,265,28
193,286,88
194,262,0
195,223,25
196,854,35
197,239,13
198,168,29
199,36,79
200,158,23
201,892,7
202,463,59
203,91,37
204,390,10
205,78,45
206,284,88
207,915,66
208,885,7
209,376,14
210,292,1
211,731,76
212,310,1
213,179,19
214,14,20
215,578,8
216,562,91
217,566,50
218,591,33
219,238,94
220,940,68
221,545,45
222,847,53
223,325,11
224,859,13
225,48,25
226,898,72
227,976,88
228,279,86
229,224,87
230,845,17
231,462,22
232,408,36
233,216,40
234,503,37
235,858,66
236,332,91
237,159,0
238,814,94
239,355,29
240,72,73
241,925,1
242,619,73
243,257,8
244,215,53
245,210,33
246,274,0
247,420,30
248,447,47
249,629,71
250,28,60
251,294,27
252,348,50
253,7,28
254,777,36
255,227,53
256,28,55
257,600,76
258,277,43
259,400,14
260,293,57
261,632,60
262,770,31
263,912,12
264,146,83
265,32,54
266,161,70
267,721,58
268,605,20
269,970,31
270,969,38
271,976,25
272,408,38
273,400,77
274,25,83
275,691,39
276,150,44
277,311,35
278,682,20
279,650,83
280,86,93
281,698,88
282,577,32
283,234,72
284,917,97
285,199,44
286,939,19
287,957,0
288,938,0
289,285,28
290,135,48
291,865,25
292,712,93
293,32,20
294,383,31
295,850,12
296,56,90
297,522,24
298,441,55
299,142,33
300,501,0
301,254,5
302,426,84
303,375,3
304,72,77
305,211,91
306,907,46
307,375,48
308,208,59
309,662,72
310,784,90
311,343,52
312,548,15
313,174,11
314,929,51
315,799,60
316,904,31
317,706,91
318,418,91
319,205,89
320,69,69
321,273,64
322,939,93
323,51,83
324,922,49
325,720,36
326,755,10
327,147,14
328,911,60
329,648,81
330,785,78
331,113,64
332,731,5
333,492,56
334,713,12
335,917,6
336,712,10
337,823,93
338,947,87
339,751,37
340,195,40
341,63,77
342,158,62
343,546,15
344,453,95
345,377,4
346,488,56
347,331,89
348,907,5
349,535,14
350,971,96
351,380,10
352,463,80
353,112,98
354,368,74
355,464,22
356,549,92
357,956,1
358,540,38
359,181,18
360,943,83
361,624,97
362,931,86
363,421,93
364,794,89
365,723,69
366,188,72
367,32,83
368,588,5
369,972,52
370,548,67
371,546,83
372,346,37
373,74,41
374,739,80
375,948,78
376,312,78
377,531,1
378,645,96
379,789,81
380,960,84
381,369,83
382,417,15
383,828,39
384,912,89
385,732,75
386,65,47
387,477,14
388,449,65
389,719,54
390,505,10
391,570,94
392,116,95
393,536,66
394,205,81
395,915,90
396,518,67
397,453,0
398,384,90
399,208,6
400,74,56
401,55,53
402,846,53
403,914,20
404,332,97
405,287,12
406,735,96
407,129,94
408,410,9
409,558,62
410,65,38
411,761,79
412,436,26
413,497,96
414,355,72
415,10,10
416,635,13
417,444,95
418,191,25
419,669,80
420,348,74
421,568,73
422,887,12
423,15,68
424,613,53
425,421,92
426,403,42
427,300,38
428,434,78
429,202,15
430,553,11
431,539,81
432,227,35
433,340,44
434,376,67
435,871,91
436,669,79
437,991,50
438,965,62
439,260,61
440,515,55
441,525,79
442,567,60
443,214,2
444,338,64
445,799,31
446,837,32
447,447,61
448,516,84
449,791,33
450,300,37
451,72,50
452,615,55
453,367,1
454,470,62
455,663,93
456,858,68
457,530,30
458,518,80
459,529,26
460,226,20
461,70,58
462,684,44
463,320,18
464,641,62
465,114,93
466,321,50
467,559,9
468,501,43
469,782,67
470,270,84
471,169,22
472,322,83
473,912,45
474,187,55
475,883,0
476,989,0
477,819,41
478,478,30
479,63,16
480,428,98
481,898,13
482,313,63
483,388,25
484,486,19
485,126,58
486,782,35
487,389,52
488,418,1
489,47,35
490,505,64
491,935,87
492,158,5
493,496,16
494,851,49
495,914,43
496,944,16
497,143,21
498,771,71
499,635,45
500,235,51
501,168,48
502,533,73
503,551,38
504,117,20
505,197,78
506,916,83
507,822,66
508,478,76
509,253,48
510,227,59
511,478,65
512,278,98
513,501,65
514,468,55
515,659,32
516,101,96
517,872,76
518,382,79
519,156,17
520,432,85
521,334,35
522,806,20
523,824,22
524,785,64
525,335,26
526,986,11
527,120,12
528,535,85
529,925,14
530,453,91
531,71,57
532,549,23
533,607,45
534,341,87
535,818,50
536,956,33
537,387,51
538,838,1
539,982,51
540,384,91
541,269,88
542,288,78
543,579,59
544,960,99
545,591,53
546,983,15
547,858,71
548,956,48
549,941,49
550,719,43
551,105,0
552,628,8
553,523,13
554,458,66
555,93,91
556,740,3
557,362,18
558,561,9
559,157,8
560,374,14
561,336,50
562,259,10
563,468,44
564,594,10
565,157,67
566,767,82
567,68,4
568,81,52
569,171,16
570,350,16
571,575,25
572,59,49
573,160,99
574,98,50
575,666,28
576,188,40
577,522,81
578,142,17
579,929,29
580,359,39
581,564,10
582,40,94
583,495,62
584,998,4
585,251,21
586,539,33
587,347,91
588,748,72
589,820,86
590,187,32
591,201,29
592,920,20
593,579,61
594,859,82
595,109,6
596,992,47
597,476,51
598,169,14
599,13,76
600,689,34
601,839,12
602,265,19
603,848,61
604,519,60
605,411,41
606,292,28
607,68,60
608,910,63
609,210,67
610,89,5
611,664,31
612,803,61
613,660,36
614,927,57
615,637,10
616,26,96
617,599,56
618,304,84
619,942,58
620,685,3
621,63,71
622,330,93
623,222,76
624,478,35
625,524,3
626,615,76
627,730,29
628,25,0
629,852,76
630,555,34
631,386,50
632,606,56
633,278,84
634,251,7
635,65,44
636,28,73
637,783,55
638,669,87
639,479,35
